"parameter_id","category"
"IMPC_EYE_017_001","Vision"
"HRWLLA_EYE_092_001","Vision"
"IMPC_EYE_092_002","Vision"
"IMPC_EYE_016_001","Vision"
"IMPC_EYE_067_001","Vision"
"IMPC_EYE_061_001","Vision"
"IMPC_EYE_059_001","Vision"
"HRWLLA_EYE_017_001","Vision"
"IMPC_EYE_007_001","Vision"
"IMPC_EYE_062_001","Vision"
"IMPC_EYE_027_001","Vision"
"IMPC_EYE_069_001","Vision"
"IMPC_EYE_092_001","Vision"
"IMPC_EYE_026_001","Vision"
"IMPC_EYE_023_001","Vision"
"IMPC_EYE_024_001","Vision"
"IMPC_HWT_008_001","Weight"
"UCD_OWT_029_001","Weight"
"IMPC_OWT_004_001","Weight"
"IMPC_DXA_004_001","Weight"
"IMPC_DXA_008_001","Weight"
"IMPC_DXA_002_001","Weight"
"HRWL_OWT_001_001","Weight"
"IMPC_DXA_009_001","Weight"
